Unidad,2019,2018,2017,2016,2015
4107201001 Pedrera sección 01001,8628,7954,7551,7370,7249
4107201002 Pedrera sección 01002,8585,7768,7322,7048,6801
4107201003 Pedrera sección 01003,8297,7710,7159,6790,6712
17129 Pedret i Marzà,13845,12515,12781,11687,11175
1712901 Pedret i Marzà distrito 01,13845,12515,12781,11687,11175
1712901001 Pedret i Marzà sección 01001,13845,12515,12781,11687,11175
28108 Pedrezuela,13344,12806,12394,12026,12155
2810801 Pedrezuela distrito 01,13344,12806,12394,12026,12155
2810801001 Pedrezuela sección 01001,13962,13340,12849,12836,12952
2810801002 Pedrezuela sección 01002,12720,12273,11951,11226,11370
14050 Pedro Abad,9230,8662,8099,7858,7448
1405001 Pedro Abad distrito 01,8783,8356,7853,7615,7291
1405001001 Pedro Abad sección 01001,8783,8356,7853,7615,7291
1405002 Pedro Abad distrito 02,9902,9122,8462,8216,7683
1405002001 Pedro Abad sección 02001,9902,9122,8462,8216,7683
05182 Pedro Bernardo,9773,9107,8407,8219,8007
0518201 Pedro Bernardo distrito 01,9773,9107,8407,8219,8007
0518201001 Pedro Bernardo sección 01001,9773,9107,8407,8219,8007
18152 Pedro Martínez,8159,8004,7829,7690,7600
1815201 Pedro Martínez distrito 01,8159,8004,7829,7690,7600
1815201001 Pedro Martínez sección 01001,8159,8004,7829,7690,7600
13061 Pedro Muñoz,8921,8545,8044,6998,7031
1306101 Pedro Muñoz distrito 01,8843,8383,7911,6920,7027
1306101001 Pedro Muñoz sección 01001,10207,9352,9124,7610,7864
1306101002 Pedro Muñoz sección 01002,7047,6864,6420,5809,5732
1306101003 Pedro Muñoz sección 01003,9414,9143,8277,7364,7543
1306102 Pedro Muñoz distrito 02,8996,8704,8175,7072,7034
1306102001 Pedro Muñoz sección 02001,9611,9549,8961,7626,7624
1306102002 Pedro Muñoz sección 02002,8254,7690,7236,6401,6333
14051 Pedroche,9855,9220,8567,8012,7999
1405101 Pedroche distrito 01,9558,8918,8427,7666,7771
1405101001 Pedroche sección 01001,9558,8918,8427,7666,7771
1405102 Pedroche distrito 02,10208,9586,8733,8432,8269
1405102001 Pedroche sección 02001,10208,9586,8733,8432,8269
50204 Pedrola,12498,11988,11395,10806,10813
5020401 Pedrola distrito 01,12498,11988,11395,10806,10813
5020401001 Pedrola sección 01001,12182,11623,10864,10356,10709
5020401002 Pedrola sección 01002,12660,12167,11663,11036,10866
"16154 Pedroñeras, Las",9243,8581,8849,8314,7404
"1615401 Pedroñeras, Las distrito 01",9152,8561,8778,8069,7015
"1615401001 Pedroñeras, Las sección 01001",9011,8755,8989,8572,8003
"1615401002 Pedroñeras, Las sección 01002",9291,8910,8618,7723,7567
"1615401003 Pedroñeras, Las sección 01003",9158,7897,8695,7848,5093
"1615402 Pedroñeras, Las distrito 02",9351,8604,8935,8624,7893
"1615402001 Pedroñeras, Las sección 02001",8719,7853,8230,7877,7119
"1615402002 Pedroñeras, Las sección 02002",9682,8990,9302,9031,8320
05183 Pedro-Rodríguez,12115,11211,10583,10394,10085
0518301 Pedro-Rodríguez distrito 01,12115,11211,10583,10394,10085
0518301001 Pedro-Rodríguez sección 01001,12115,11211,10583,10394,10085
09256 Pedrosa de Duero,6277,10628,10953,11174,10377
0925601 Pedrosa de Duero distrito 01,6277,10628,10953,11174,10377
0925601001 Pedrosa de Duero sección 01001,6277,10628,10953,11174,10377
34126 Pedrosa de la Vega,10280,10055,9538,8714,8786
3412601 Pedrosa de la Vega distrito 01,10280,10055,9538,8714,8786
3412601001 Pedrosa de la Vega sección 01001,10280,10055,9538,8714,8786
09259 Pedrosa de Río Úrbel,16347,17620,13946,14123,14683
0925901 Pedrosa de Río Úrbel distrito 01,16347,17620,13946,14123,14683
0925901001 Pedrosa de Río Úrbel sección 01001,16347,17620,13946,14123,14683
09257 Pedrosa del Páramo,.,.,.,11395,11961
0925701 Pedrosa del Páramo distrito 01,.,.,.,11395,11961
0925701001 Pedrosa del Páramo sección 01001,.,.,.,11395,11961
09258 Pedrosa del Príncipe,13567,14011,12716,12584,10794
0925801 Pedrosa del Príncipe distrito 01,13567,14011,12716,12584,10794
0925801001 Pedrosa del Príncipe sección 01001,13567,14011,12716,12584,10794
47113 Pedrosa del Rey,12737,11932,11844,9782,10211
4711301 Pedrosa del Rey distrito 01,12737,11932,11844,9782,10211
4711301001 Pedrosa del Rey sección 01001,12737,11932,11844,9782,10211
"50205 Pedrosas, Las",.,.,.,11855,12785
"5020501 Pedrosas, Las distrito 01",.,.,.,11855,12785
"5020501001 Pedrosas, Las sección 01001",.,.,.,11855,12785
37236 Pedrosillo de Alba,12475,12445,12365,10289,10642
3723601 Pedrosillo de Alba distrito 01,12475,12445,12365,10289,10642
3723601001 Pedrosillo de Alba sección 01001,12475,12445,12365,10289,10642
37237 Pedrosillo de los Aires,10716,10563,10321,9669,9586
3723701 Pedrosillo de los Aires distrito 01,10716,10563,10321,9669,9586
3723701001 Pedrosillo de los Aires sección 01001,10716,10563,10321,9669,9586
37238 Pedrosillo el Ralo,12542,12248,11491,12215,11735
3723801 Pedrosillo el Ralo distrito 01,12542,12248,11491,12215,11735
3723801001 Pedrosillo el Ralo sección 01001,12542,12248,11491,12215,11735
26114 Pedroso,.,.,.,.,.
2611401 Pedroso distrito 01,.,.,.,.,.
2611401001 Pedroso sección 01001,.,.,.,.,.
10139 Pedroso de Acim,.,.,.,.,7186
1013901 Pedroso de Acim distrito 01,.,.,.,.,7186
1013901001 Pedroso de Acim sección 01001,.,.,.,.,7186
"37239 Pedroso de la Armuña, El",12952,12818,11262,11652,10965
"3723901 Pedroso de la Armuña, El distrito 01",12952,12818,11262,11652,10965
"3723901001 Pedroso de la Armuña, El sección 01001",12952,12818,11262,11652,10965
"41073 Pedroso, El",9049,8463,8104,7730,7490
"4107301 Pedroso, El distrito 01",9049,8463,8104,7730,7490
"4107301001 Pedroso, El sección 01001",9073,8431,8032,7518,7157
"4107301002 Pedroso, El sección 01002",9017,8503,8192,7987,7896
23067 Pegalajar,8333,8329,7629,7586,7038
2306701 Pegalajar distrito 01,8253,8388,7858,7586,7051
2306701001 Pegalajar sección 01001,8253,8388,7858,7586,7051
2306702 Pegalajar distrito 02,8367,8303,7531,7585,7032
2306702001 Pegalajar sección 02001,8955,8840,7975,8175,7524
2306702002 Pegalajar sección 02002,7655,7655,6986,6870,6438
03102 Pego,10232,9926,9362,8620,8592
0310201 Pego distrito 01,10936,11025,10205,9444,9447
0310201001 Pego sección 01001,10717,10912,10288,9535,9573
0310201002 Pego sección 01002,11298,11214,10067,9298,9242
0310202 Pego distrito 02,9690,9220,8614,8136,7776
0310202001 Pego sección 02001,9168,8748,8265,8017,7617
0310202002 Pego sección 02002,10432,9868,9080,8289,7975
0310203 Pego distrito 03,10100,9597,9278,8328,8545
0310203001 Pego sección 03001,10326,9620,9138,8497,8441
0310203002 Pego sección 03002,9934,9578,9389,8200,8628
"49146 Pego, El",10442,9775,8965,8498,8188
"4914601 Pego, El distrito 01",10442,9775,8965,8498,8188
"4914601001 Pego, El sección 01001",10442,9775,8965,8498,8188
05184 Peguerinos,12226,13264,12313,10625,11086
0518401 Peguerinos distrito 01,12226,13264,12313,10625,11086
0518401001 Peguerinos sección 01001,12226,13264,12313,10625,11086
37240 Pelabravo,11410,10937,10106,10048,10267
3724001 Pelabravo distrito 01,11410,10937,10106,10048,10267
3724001001 Pelabravo sección 01001,11410,10937,10106,10048,10267
45131 Pelahustán,9001,8775,8183,8100,7714
4513101 Pelahustán distrito 01,9001,8775,8183,8100,7714
4513101001 Pelahustán sección 01001,9001,8775,8183,8100,7714
37241 Pelarrodríguez,11361,10622,10062,9650,9713
3724101 Pelarrodríguez distrito 01,11361,10622,10062,9650,9713
3724101001 Pelarrodríguez sección 01001,11361,10622,10062,9650,9713
37242 Pelayos,.,.,.,.,.
3724201 Pelayos distrito 01,.,.,.,.,.
3724201001 Pelayos sección 01001,.,.,.,.,.
28109 Pelayos de la Presa,9608,9090,8740,8242,8191
2810901 Pelayos de la Presa distrito 01,9608,9090,8740,8242,8191
2810901001 Pelayos de la Presa sección 01001,9608,9090,8740,8242,8191
40157 Pelayos del Arroyo,.,.,.,.,.
4015701 Pelayos del Arroyo distrito 01,.,.,.,.,.
4015701001 Pelayos del Arroyo sección 01001,.,.,.,.,.
49147 Peleagonzalo,9741,9176,8610,8737,8573
4914701 Peleagonzalo distrito 01,9741,9176,8610,8737,8573
4914701001 Peleagonzalo sección 01001,9741,9176,8610,8737,8573
49148 Peleas de Abajo,10405,10093,9648,9847,10201
4914801 Peleas de Abajo distrito 01,10405,10093,9648,9847,10201
4914801001 Peleas de Abajo sección 01001,10405,10093,9648,9847,10201
18153 Peligros,10234,9746,9250,8958,8678
1815301 Peligros distrito 01,10234,9746,9250,8958,8678
1815301001 Peligros sección 01001,10341,9562,9032,8618,8415
1815301002 Peligros sección 01002,9500,9251,8800,8233,7678
1815301003 Peligros sección 01003,8805,8191,7738,7655,7504
1815301004 Peligros sección 01004,8683,8370,7968,7648,7453
1815301005 Peligros sección 01005,13911,13494,12901,12899,12458
1815301006 Peligros sección 01006,10142,9855,9128,8581,8524
1815301007 Peligros sección 01007,9674,8871,8389,8170,7679
39048 Penagos,13062,12202,11713,11454,11326
3904801 Penagos distrito 01,13062,12202,11713,11454,11326
3904801001 Penagos sección 01001,12873,11855,11442,11081,11209
3904801002 Penagos sección 01002,13294,12626,12048,11923,11470
03103 Penàguila,11850,11550,10622,10425,9901
0310301 Penàguila distrito 01,11850,11550,10622,10425,9901
0310301001 Penàguila sección 01001,11850,11550,10622,10425,9901
25164 Penelles,14134,13032,12257,12092,11830
2516401 Penelles distrito 01,14134,13032,12257,12092,11830
2516401001 Penelles sección 01001,14134,13032,12257,12092,11830
12089 Peníscola/Peñíscola,10490,10312,10041,9303,9049
1208901 Peníscola/Peñíscola distrito 01,10768,10893,10116,9626,8473
1208901001 Peníscola/Peñíscola sección 01001,10768,10893,10116,9626,8473
1208902 Peníscola/Peñíscola distrito 02,10435,10198,10026,9236,9171
1208902002 Peníscola/Peñíscola sección 02002,10742,11365,11437,10154,8931
1208902003 Peníscola/Peñíscola sección 02003,11187,10557,10449,9545,9485
1208902004 Peníscola/Peñíscola sección 02004,9393,9114,8739,8306,.
"37243 Peña, La",.,.,9992,9980,9845
"3724301 Peña, La distrito 01",.,.,.,.,9845
"3724301001 Peña, La sección 01001",.,.,.,.,9845
37244 Peñacaballera,9798,8814,8488,7057,6997
3724401 Peñacaballera distrito 01,9798,8814,8488,7057,6997
3724401001 Peñacaballera sección 01001,9798,8814,8488,7057,6997
01044 Peñacerrada-Urizaharra,17936,18582,16931,18025,16953
0104401 Peñacerrada-Urizaharra distrito 01,.,.,.,.,.
0104401001 Peñacerrada-Urizaharra sección 01001,.,.,.,.,.
47114 Peñafiel,11647,11094,10612,10071,9799
4711401 Peñafiel distrito 01,11262,10635,10170,9638,9466
4711401001 Peñafiel sección 01001,12085,11466,10856,10414,10247
4711401002 Peñafiel sección 01002,10198,9592,9305,8643,8485
4711402 Peñafiel distrito 02,12355,11931,11418,10847,10372
4711402001 Peñafiel sección 02001,12038,11849,11133,10774,10477
4711402002 Peñafiel sección 02002,12878,12067,11888,10969,10198
41074 Peñaflor,8847,8242,7929,7598,7506
4107401 Peñaflor distrito 01,8847,8242,7929,7598,7506
4107401001 Peñaflor sección 01001,8784,8030,7694,7317,7219
4107401002 Peñaflor sección 01002,8930,8520,8233,7957,7856
47115 Peñaflor de Hornija,13185,12689,11350,11427,11033
4711501 Peñaflor de Hornija distrito 01,13185,12689,11350,11427,11033
4711501001 Peñaflor de Hornija sección 01001,13185,12689,11350,11427,11033
22172 Peñalba,12599,13349,12006,10971,11317
2217201 Peñalba distrito 01,12599,13349,12006,10971,11317
2217201001 Peñalba sección 01001,12599,13349,12006,10971,11317
05185 Peñalba de Ávila,10183,9942,9447,9228,9138
0518501 Peñalba de Ávila distrito 01,10183,9942,9447,9228,9138
0518501001 Peñalba de Ávila sección 01001,10183,9942,9447,9228,9138
19214 Peñalén,.,.,.,.,.
1921401 Peñalén distrito 01,.,.,.,.,.
1921401001 Peñalén sección 01001,.,.,.,.,.
06100 Peñalsordo,9950,9578,9183,8508,8407
0610001 Peñalsordo distrito 01,9950,9578,9183,8508,8407
0610001001 Peñalsordo sección 01001,9950,9578,9183,8508,8407
19215 Peñalver,13827,13416,13357,13052,13140
1921501 Peñalver distrito 01,13827,13416,13357,13052,13140
1921501001 Peñalver sección 01001,13827,13416,13357,13052,13140
33046 Peñamellera Alta,10532,9779,9336,8764,8630
3304601 Peñamellera Alta distrito 01,10532,9779,9336,8764,8630
3304601001 Peñamellera Alta sección 01001,10532,9779,9336,8764,8630
33047 Peñamellera Baja,9883,9276,8852,8509,8452
3304701 Peñamellera Baja distrito 01,9883,9276,8852,8509,8452
3304701001 Peñamellera Baja sección 01001,9883,9276,8852,8509,8452
37245 Peñaparda,9031,8975,8479,7975,7668
3724501 Peñaparda distrito 01,9031,8975,8479,7975,7668
3724501001 Peñaparda sección 01001,9031,8975,8479,7975,7668
37246 Peñaranda de Bracamonte,9963,9506,9134,8769,8575
3724601 Peñaranda de Bracamonte distrito 01,10305,9800,9572,9241,8981
3724601001 Peñaranda de Bracamonte sección 01001,10648,10096,9850,9429,9197
3724601002 Peñaranda de Bracamonte sección 01002,10000,9542,9333,9075,8793
3724602 Peñaranda de Bracamonte distrito 02,9529,9147,8604,8201,8081
3724602001 Peñaranda de Bracamonte sección 02001,9183,8981,8538,8056,7991
3724602002 Peñaranda de Bracamonte sección 02002,10105,9423,8714,8438,8231
09261 Peñaranda de Duero,11896,11389,10957,10566,10277
0926101 Peñaranda de Duero distrito 01,11896,11389,10957,10566,10277
0926101001 Peñaranda de Duero sección 01001,11896,11389,10957,10566,10277
37247 Peñarandilla,11826,11632,9715,9541,9438
3724701 Peñarandilla distrito 01,11826,11632,9715,9541,9438
3724701001 Peñarandilla sección 01001,11826,11632,9715,9541,9438
44179 Peñarroya de Tastavins,10478,11096,9704,8962,8667
4417901 Peñarroya de Tastavins distrito 01,10478,11096,9704,8962,8667
4417901001 Peñarroya de Tastavins sección 01001,10478,11096,9704,8962,8667
14052 Peñarroya-Pueblonuevo,10443,9809,9359,8943,8785
1405201 Peñarroya-Pueblonuevo distrito 01,11313,10752,10336,9846,9719
1405201001 Peñarroya-Pueblonuevo sección 01001,11026,10704,9969,9520,9562
1405201003 Peñarroya-Pueblonuevo sección 01003,10383,9699,9377,9133,8979
1405201004 Peñarroya-Pueblonuevo sección 01004,13565,12910,12628,12107,11911
1405201005 Peñarroya-Pueblonuevo sección 01005,10871,10324,9896,9304,8997
1405201006 Peñarroya-Pueblonuevo sección 01006,11112,10498,10075,9487,9497
1405202 Peñarroya-Pueblonuevo distrito 02,9727,8935,8472,8131,8015
1405202001 Peñarroya-Pueblonuevo sección 02001,9652,8999,8430,8265,8382
1405202002 Peñarroya-Pueblonuevo sección 02002,9532,9099,8709,8091,7733
1405202003 Peñarroya-Pueblonuevo sección 02003,9761,8934,8546,8263,8064
1405202004 Peñarroya-Pueblonuevo sección 02004,9873,8722,8232,7914,7869
1405203 Peñarroya-Pueblonuevo distrito 03,9569,8886,8433,8077,7837
1405203001 Peñarroya-Pueblonuevo sección 03001,9598,8945,8539,8143,7691
1405203002 Peñarroya-Pueblonuevo sección 03002,10044,9334,8733,8370,8160
1405203003 Peñarroya-Pueblonuevo sección 03003,9208,8519,8118,7807,7728
1405204 Peñarroya-Pueblonuevo distrito 04,.,9887,9029,8629,8374
1405204001 Peñarroya-Pueblonuevo sección 04001,.,9887,9029,8629,8374
39049 Peñarrubia,11514,11266,10797,11344,10382
3904901 Peñarrubia distrito 01,11514,11266,10797,11344,10382
3904901001 Peñarrubia sección 01001,11514,11266,10797,11344,10382
"22173 Peñas de Riglos, Las",14638,13774,13216,12827,12244
"2217301 Peñas de Riglos, Las distrito 01",14638,13774,13216,12827,12244
"2217301001 Peñas de Riglos, Las sección 01001",14638,13774,13216,12827,12244
02060 Peñas de San Pedro,13202,12611,11413,11228,11068
0206001 Peñas de San Pedro distrito 01,13202,12611,11413,11228,11068
0206001001 Peñas de San Pedro sección 01001,13202,12611,11413,11228,11068
02059 Peñascosa,11529,10946,10162,10233,9772
0205901 Peñascosa distrito 01,11529,10946,10162,10233,9772
0205901001 Peñascosa sección 01001,11529,10946,10162,10233,9772
49149 Peñausende,11754,10919,9484,9561,9408
4914901 Peñausende distrito 01,11754,10919,9484,9561,9408
4914901001 Peñausende sección 01001,11754,10919,9484,9561,9408
45132 Pepino,13570,12857,12171,11307,10854
4513201 Pepino distrito 01,13570,12857,12171,11307,10854
4513201001 Pepino sección 01001,12825,12051,11303,10514,10284
4513201002 Pepino sección 01002,14647,14074,13425,12500,11736
49150 Peque,10928,10785,10389,9484,9385
4915001 Peque distrito 01,10928,10785,10389,9484,9385
4915001001 Peque sección 01001,10928,10785,10389,9484,9385
"17130 Pera, La",15866,14541,13820,13874,12846
"1713001 Pera, La distrito 01",15866,14541,13820,13874,12846
"1713001001 Pera, La sección 01001",15866,14541,13820,13874,12846
44180 Peracense,.,.,.,.,.
4418001 Peracense distrito 01,.,.,.,.,.
4418001001 Peracense sección 01001,.,.,.,.,.
08160 Perafita,14262,14304,13573,12923,12720
0816001 Perafita distrito 01,14262,14304,13573,12923,12720
0816001001 Perafita sección 01001,14262,14304,13573,12923,12720
43103 Perafort,14193,13509,13090,12702,12109
4310301 Perafort distrito 01,14193,13509,13090,12702,12109
4310301001 Perafort sección 01001,14193,13509,13090,12702,12109
09262 Peral de Arlanza,13667,12737,12037,12742,12436
0926201 Peral de Arlanza distrito 01,13667,12737,12037,12742,12436
0926201001 Peral de Arlanza sección 01001,13667,12737,12037,12742,12436
"16155 Peral, El",8927,8464,8107,7474,7266
"1615501 Peral, El distrito 01",8927,8464,8107,7474,7266
"1615501001 Peral, El sección 01001",8927,8464,8107,7474,7266
17132 Peralada,16430,15836,14689,13675,13652
1713201 Peralada distrito 01,16430,15836,14689,13675,13652
1713201001 Peralada sección 01001,16430,15836,14689,13675,13652
10140 Peraleda de la Mata,9712,9568,9037,8634,8620
1014001 Peraleda de la Mata distrito 01,9712,9568,9037,8634,8620
1014001001 Peraleda de la Mata sección 01001,9712,9568,9037,8634,8620
10141 Peraleda de San Román,10945,10851,8958,8440,8517
1014101 Peraleda de San Román distrito 01,10945,10851,8958,8440,8517
1014101001 Peraleda de San Román sección 01001,10945,10851,8958,8440,8517
06101 Peraleda del Zaucejo,8609,8409,8306,7533,7260
0610101 Peraleda del Zaucejo distrito 01,8609,8409,8306,7533,7260
0610101001 Peraleda del Zaucejo sección 01001,8609,8409,8306,7533,7260
"16156 Peraleja, La",.,8756,.,7634,7468
"1615601 Peraleja, La distrito 01",.,.,.,7634,7468
"1615601001 Peraleja, La sección 01001",.,.,.,7634,7468
44181 Peralejos,.,.,.,.,.
4418101 Peralejos distrito 01,.,.,.,.,.
